Sex,Age,GHEcause,Disease Category,Disease Name,AFG,ALB,DZA,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,LCA,VCT,WSM,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE
Persons,0-4,Communicable,Infectious and parasitic diseases,Tuberculosis,2259.9337392,3.840586052,180.570398877,616.3133407309999,0.0,2.194192896,3.828663751,0.0,2.353452994,158.74532536499999,0.0,0.0,7724.83227301,0.0,2.5569648359999997,6.872684216,0.0,122.70548415500001,16.830177685,152.80247315199998,0.0,36.887887193,1250.71113006,0.0,8.20438233,95.52527831500001,180.532748632,1671.6757097099999,999.1387703080001,1.714864755,0.0,203.019238105,159.662886296,0.710361087,5532.6487958,169.142028272,3.5490153870000003,26.550350326,3.583417947,772.350647395,0.703287672,0.903093612,0.0,0.0,82.319450734,1424.3393074199998,0.0,32.330882462,137.72410276800002,55.005423148,261.948794523,15.690007773999998,2.861776914,8.276887244,0.0,5657.9635832799995,1.5911594539999998,1.748325053,3.406618324,50.87584793,36.539746472,19.181356228000002,8.451380872,540.642633918,0.5057364790000001,0.0,34.823833588,392.89367315,50.728573479,0.673125288,327.00152177,16.397662914999998,0.621643178,0.0,22398.3894496,7962.99943869,237.31783800899998,188.188428224,0.0,0.0,9.617234415,0.0,3.685744728,2.0726720260000002,271.280428879,388.811583798,1.5018474339999999,0.0,71.24424307700001,609.5925024249999,2.454497191,8.286737761,89.405042709,237.24735698900002,51.208695766999995,0.441311372,0.0,1132.86063924,259.738218796,16.003322491000002,1.461541983,73.723577858,0.0,120.009483293,0.074005644,246.33505562599998,1.581241394,80.76447895,0.0,19.219176434,1297.34179213,5090.058187590001,69.7868287,434.726182797,2.948115009,0.0,38.494626626,713.50952522,5768.37852428,1.4105017e-15,1.153056571,7642.45014626,7.636618484,210.13908822300002,7.6925112239999995,412.206248781,1518.98771086,1.313699961,2.867044968,0.0,31.845658199000002,6.447649554,6.701977854,449.904414653,40.770234427,0.0,0.0,0.0,0.0,83.28107815000001,239.96375495,2.514972877,0.0038885012000000004,237.040681816,0.0,0.205073169,0.0,0.996584623,238.26683187799998,924.465075284,152.66773972000001,5.919286657,13.343056704,1740.42423235,1.056353176,35.808530679,0.0,0.846070538,15.015386697,111.937239666,69.664348362,0.0,140.235437348,17.452417142999998,0.0,3.353302686,50.368202979,437.092157587,256.29440854399996,760.088588609,0.678108037,3.761842406,8.47257343,2116.00827466,40.333925457,1.001409702,139.07534594199998,0.0,80.910810554,713.525289158,817.624211914,319.073610071,130.686410054
Persons,0-4,Communicable,Infectious and parasitic diseases,Syphilis,525.742745747,15.079125592,112.047234443,1280.7816857100001,0.013502703999999999,86.193432326,12.391577832,3.616986458,0.325141544,239.192835314,0.710952954,0.667755667,4483.48400181,0.321387656,1.6876073489999999,0.26573827,1.287792496,220.275608863,11.978736854,530.857974546,1.6903006839999999,13.491169344,881.9437491010001,0.171493908,4.72654164,498.74777236700004,156.501695084,546.455778182,1244.47454813,0.286490849,7.134075962,231.874371,1178.13463976,26.337807487,3847.05568832,196.53231407899997,30.723170271,131.247555645,5.176583862999999,538.361418495,1.245788544,8.428234761,0.014554873,2.245212376,117.863483622,4509.04985845,0.14073377099999998,21.741091096,11.072135127,216.350226907,301.5841253,58.080269274,17.876126613,83.773148202,0.036071485,2928.34842423,2.294488931,0.0646375,2.5188672160000003,28.057464892,78.40202191200001,30.46167259,2.870979782,296.489060914,0.341904059,0.036677658,289.223253369,611.934232256,201.778529051,9.256737384,496.97130607,141.496450874,1.5762411920000001,0.0052810741,24113.6150031,560.127711947,10.860910913,236.482673917,0.12621115800000002,0.262537071,0.9565851519999999,3.629303647,13.620942984,6.338942557,106.52126181,899.031675951,0.705423975,9.306945478,51.028585894,84.86460710099999,0.325447092,7.989837312,34.136895190000004,105.931528145,20.421121023,0.340122611,0.0,691.6859496010001,433.942142154,5.198023503,1.553661658,1013.15623501,0.0077332489,274.157480352,0.196605584,226.83086217299999,3.665834948,19.140901403999997,0.6060179139999999,588.145904515,1249.94369185,505.85506399900004,35.272189933,725.611236598,0.29598833,0.12017374,133.570832813,359.726368861,2849.62620622,0.064261924,0.788389384,3117.96120552,9.570094588,266.330740915,65.152388138,1011.0538282999999,720.705350603,9.286516490999999,0.67934038,0.874465797,2.036537876,1.3682749710000002,36.357443853999996,42.009273806,637.474880359,0.10420568000000001,0.07757304,0.425270841,1.795775707,27.208246423000002,777.14607016,14.575942637999999,0.056747496999999994,145.50626261300002,0.42060464999999997,0.86368617,0.0,15.246145261,426.875311711,758.874899238,475.11283275200003,1.32382014,3.6369225579999997,2771.6455117200003,3.3035841379999997,17.074946582000003,0.052010477000000006,0.090178126,118.529376911,420.279831672,114.67479281700001,6.598704031,28.981285201,313.19328017699996,0.124515788,0.134502061,34.311756489,227.131431659,28.807374154,804.247104812,13.225956202999999,0.563342676,1.223841247,2875.9256562100004,17.171798835,3.347249948,531.178823155,0.647411157,49.541300858999996,327.023712573,1119.07447697,385.485451125,203.157109293
Persons,0-4,Communicable,Infectious and parasitic diseases,Chlamydia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Persons,0-4,Communicable,Infectious and parasitic diseases,Gonorrhoea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Persons,0-4,Communicable,Infectious and parasitic diseases,Trichomoniasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Persons,0-4,Communicable,Infectious and parasitic diseases,Genital herpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Persons,0-4,Communicable,Infectious and parasitic diseases,Other STDs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Persons,0-4,Communicable,Infectious and parasitic diseases,HIV/AIDS,19.006473063,0.181140445,5.939536517,1463.88124911,0.0,56.024633079,1.722423249,0.0,0.0,2.9675389209999996,0.763248408,0.0,1.5085678260000002,3.055264692,3.179780461,0.0,2.625881775,580.943540669,1.093432285,29.001346681,0.030991847,1827.77667505,565.949378026,0.0,0.0,2047.4841338999997,1445.80385755,655.6377431269999,4874.87129732,0.119972074,9.992586691,2062.7650473900003,1847.6258058199999,3.8736358170000003,499.98963231299996,49.692531693,0.0036627034000000004,919.145446202,2.392458817,4685.72238454,0.0,0.0,0.052969335,0.0,1.9795551900000001,5366.79716138,0.0,89.009727407,518.9863217669999,99.996307649,5.897955204,49.992235927,38.008849151,240.988183875,0.0,14638.0432934,0.730685364,0.0,4.099013268999999,380.497876998,106.971579449,1.9823496889999999,4.860731456,2213.87488843,0.0,0.0,93.012525418,1094.80271648,158.92847349200002,20.873863506,1351.82321186,339.12826384799996,0.0,0.0,7720.319025610001,64.01105492,14.998815522,0.0,0.0,0.0,8.010800134,124.02476271,0.0,0.0,14.013204067,21081.7839671,0.0,0.0,2.96795654,7.9223973469999995,0.0,0.939902173,1756.42549434,369.853917997,0.0,0.0,0.0,416.99753335599996,12080.408760999999,47.014645082,0.086408852,1281.5282154400002,0.0,109.91733777600001,0.0,106.120382277,0.0,0.144512833,0.0,31.003445497,9691.97469196,423.157719178,1299.7898832100002,44.994257372,0.0,0.0,53.005885551,865.8103764150001,24528.4790469,0.0,3.9575331059999996,20.021807229,13.465536949,209.87621458,14.997494311,286.022910399,12.999674664,0.0,1.450570105,0.152340855,1.162985663,0.0,8.351264669,343.030224825,2992.95610736,1.229021788,1.527942359,0.0,7.9144706430000005,0.0,201.932318093,5.527519508,0.0,207.973007364,0.0,0.0,0.0,0.0,284.989259339,25002.772015000002,760.979374132,2.761832439,1.458477558,157.096134284,4.657257554999999,1537.31149232,0.0,0.0,1.389346706,53.014076278,725.934161957,0.0,0.034967615,954.4856578810001,0.0,16.119198216999997,0.829310879,3.965321707,0.0,12654.614261300001,276.148305425,0.0,2.880571,17159.461041699997,40.530920111,3.840215113,71.906610078,0.0,25.566124780000003,113.27333377,17.031426884000002,8370.2972441,17087.605436
Persons,0-4,Communicable,Infectious and parasitic diseases,Diarrhoeal diseases,22726.5821882,40.405268928,1962.3379381799998,30376.968633099998,0.0,296.401816028,40.576310905,1.5959824950000001,1.259153199,1226.67157395,0.746598372,0.6537072070000001,39249.8566823,0.0,21.359313671,4.40811708,8.540668181,5982.64522654,173.868666444,3106.74564779,3.9167695460000003,198.510993976,9209.54224422,0.0,34.663712062,8202.10312634,5694.551762579999,5257.47821786,13761.856611000001,8.120756741000001,44.22459311,2594.93792462,14357.317696799999,24.845916017,28752.9446177,1274.22615214,244.140001543,1707.62574934,35.892347616,7736.80715459,1.4855217989999998,19.3797471,0.324524272,0.995586254,2829.55863735,34856.3674828,1.72961117,269.046607202,580.947196834,909.884598149,6987.31901828,422.90497590800004,410.39043497,1547.67146104,2.262520857,58237.8911574,22.636850572,2.328075182,60.496783177000005,252.68626408,950.133320401,69.324008139,15.335733539,5149.76151616,0.0,1.283415674,2536.85600702,7357.98964847,1331.3575958299998,108.444542989,4820.38018742,731.6940359250001,0.9786424499999999,0.0,337076.518346,25421.7384194,3731.22287746,3434.2671011,0.0,7.397788013,1.308719902,17.243121662,32.982643465,197.180894223,935.934872287,14499.9611386,22.814350822999998,2.536527632,539.439009598,3085.86492525,0.0,51.246066033999995,747.2047315919999,2597.8141253000003,98.600298232,1.129032616,0.0,11448.9892297,11189.6533846,169.306578127,14.832228148999999,17441.6590843,0.0,1603.44472737,5.1454273740000005,4975.10494175,19.074484954,369.460504139,1.3261550690000001,2932.6720649800004,14414.5190979,11196.809734100001,415.209963119,6931.96884769,0.0,1.5584000770000002,853.341327276,25905.1517027,131324.340869,1.3310818819999999,20.010752438,63218.6932744,87.681331156,1422.6622874999998,458.21913739999997,2049.01620783,10541.8944555,6.1468584559999995,1.450343837,1.210766322,30.351445267,20.157515686,161.614443626,590.954946953,11171.1954095,1.2395716879999998,1.639845118,5.23549287,56.665081197,346.48210148000004,7815.52916279,14.92371444,0.24440697299999997,6248.35344642,0.0,7.883869313000001,0.0,31.686169299999996,11086.5635672,10227.953103799999,8460.58147804,3.891208961,222.86583007899998,17393.468348799997,25.192402262999998,539.46596435,0.0,1.504065631,1154.0494024500001,2761.84503065,989.08897756,36.09091024,689.541147617,1999.52629009,2.209539458,5.311418606999999,297.453938455,539.331495367,1094.51965933,16626.5304508,150.797307432,4.589705292,57.611971509,23257.3988861,632.689883515,27.632873084,3840.23996131,26.312565199999998,1307.3336980600002,6127.43660084,9615.692404680001,10612.7979581,3610.0518777
Persons,0-4,Communicable,Infectious and parasitic diseases,Whooping cough,1554.42090903,6.009493786,111.98345799799999,930.6981500840001,0.0,25.009638050000003,3.001115748,1.59609848,0.0,24.975544916,0.0,0.0,760.797426311,0.0,8.010742934,1.488661989,0.0,309.85263556300004,2.130995159,305.155375391,3.0001561289999996,8.19419615,69.94886072599999,0.0,0.0,648.148375227,285.29983239200004,340.374597118,778.8548306910001,5.136915397,1.2439041549999998,179.986496174,565.761512038,10.513357261,1711.31587093,31.584684591000002,25.389844924,172.111269723,1.195418648,826.030810966,0.0,0.0,0.998200883,0.0,44.969088084,2950.6318570099997,0.350941795,4.142071026,42.749423779,59.995440629,316.201512778,27.992657196000003,24.01404433,168.340972639,0.0,3706.81999493,3.0003894879999997,0.0,15.741488628,49.395113568,54.949917705,5.0084906049999995,0.0,656.00591029,0.0,0.0,81.728638524,454.683252334,59.760019976,0.0,371.967058498,36.036204631,0.0,0.0,5969.01093582,969.521026744,242.099848773,183.934266587,0.0,0.0,0.0,10.999715533,1.4786474790000002,28.001278085000003,36.948801354,1267.1043772199998,0.0,0.41630381099999997,19.994362889,211.83809416900002,0.0,5.999881244,58.955141413,163.34510435899998,20.001970412000002,0.0,0.0,875.585048914,465.89143667499997,103.105397385,0.999609988,599.555892172,0.0,129.47148990999997,0.0,8.355358563,0.999377386,9.008440857,0.0,115.02009254299999,841.631320663,225.436469024,64.175099239,918.687994806,0.0,1.484743088,26.005585176,795.693244651,7213.3987723499995,0.0,8.993221252,6010.53256778,0.0,186.415723413,159.969641161,112.024559396,2753.5039217000003,0.0,1.000629154,1.000209145,0.0,0.0,1.2066457640000001,144.027462402,475.661248415,0.0,0.0,0.999616551,0.880788454,107.98999472999999,468.71187914,0.0,0.0,239.536065958,0.0,0.0,0.0,11.762505576999999,515.443964684,215.235568208,602.7617984,1.2970658419999999,31.991077094,1347.8586689400001,0.0,33.385216345,1.303250526,0.0,102.992548423,37.015221424,86.078224839,0.0,38.869961355,221.824513999,0.0,0.0,14.004279112999999,0.0,16.015663727,1353.18487129,39.373753776,5.001307183,2.880473551,1434.0588637800001,13.825023358,0.0,97.736112405,2.975389017,57.683383807,110.183379685,806.750012882,446.633711462,74.244852846
