,Persons,Males,Females
AFG,19702,10146.537,9555.403
ALB,3122,1577.625,1544.34
DZA,31184,15803.15,15380.508
AGO,15059,7427.415,7631.223
ATG,78,36.411,41.237
ARG,37057,18131.322,18926.132
ARM,3076,1445.488,1630.61
AUS,19107,9531.176,9576.075
AUT,8051,3907.102,4143.782
AZE,8118,3966.493,4151.249
BHS,298,145.097,152.794
BHR,667,381.331,285.524
BGD,131281,67000.48,64280.26
BRB,270,129.638,140.2
BLR,9952,4672.805,5279.25
BEL,10268,5020.226,5248.154
BLZ,247,124.516,122.796
BEN,6949,3408.188,3541.178
BTN,564,290.064,274.123
BOL,8340,4181.463,4158.049
BIH,3793,1890.762,1902.116
BWA,1737,864.086,872.493
BRA,175786,86860.44,88926.008
BRN,331,168.065,162.489
BGR,8001,3898.359,4102.151
BFA,11608,5701.656,5906.288
BDI,6767,3336.457,3430.616
KHM,12198,5928.184,6269.721
CMR,15928,7933.763,7993.95
CAN,30702,15204.35,15497.553
CPV,439,211.721,227.016
CAF,3726,1830.882,1895.166
TCD,8343,4155.804,4187.517
CHL,15170,7482.944,7687.443
CHN,1277190,655887.424,621302.528
COL,40404,19980.924,20423.032
COM,548,275.584,272.112
COG,3109,1551.915,1557.354
CRI,3925,1970.396,1955.054
CIV,16518,8533.478,7984.47
HRV,4428,2131.744,2296.325
CUB,11117,5583.864,5532.923
CYP,943,475.425,467.862
CZE,10263,4991.778,5271.232
PRK,22840,11132.368,11707.85
COD,48049,23833.916,24214.748
DNK,5338,2640.36,2697.923
DJI,723,363.204,359.358
DOM,8563,4291.263,4271.36
ECU,12629,6331.201,6297.395
EGY,68335,34354.14,33980.768
SLV,5812,2799.009,3012.827
GNQ,531,271.886,259.01
ERI,3535,1758.329,1776.827
EST,1399,652.579,746.566
ETH,66444,33129.424,33314.176
FJI,811,412.02,399.203
FIN,5176,2526.348,2650.134
FRA,59387,29047.684,30339.5
GAB,1232,611.386,620.162
GMB,1229,610.244,618.619
GEO,4744,2244.958,2498.633
DEU,81896,40040.072,41855.852
GHA,18825,9506.877,9318.117
GRC,10954,5414.731,5539.301
GRD,102,50.243,51.377
GTM,11689,5713.593,5975.067
GIN,8799,4381.627,4417.538
GNB,1315,650.01,665.445
GUY,742,371.355,370.863
HTI,8549,4221.294,4327.908
HND,6243,3122.489,3120.591
HUN,10224,4864.873,5359.24
ISL,281,140.78,140.434
IND,1053481,545690.624,507790.432
IDN,211540,105868.344,105672.08
IRN,65850,33372.596,32477.464
IRQ,23575,11899.053,11675.698
IRL,3842,1910.462,1931.112
ISR,6014,2963.697,3050.014
ITA,57147,27716.926,29430.15
JAM,2600,1292.992,1307.103
JPN,125715,61490.428,64224.248
JOR,4767,2483.246,2284.23
KAZ,14957,7170.952,7785.817
KEN,31066,15487.89,15577.93
KIR,84,41.596,42.81
KWT,1929,1132.867,796.603
KGZ,4955,2444.23,2510.62
LAO,5343,2661.096,2681.783
LVA,2371,1091.08,1280.401
LBN,3235,1605.146,1630.234
LSO,1856,899.489,956.736
LBR,2892,1445.142,1446.826
LBY,5337,2784.188,2553.076
LTU,3486,1631.596,1854.777
LUX,436,214.788,221.319
MDG,15745,7839.327,7905.484
MWI,11193,5550.543,5642.687
MYS,23421,11909.394,11511.357
MDV,280,141.952,138.432
MLI,11047,5516.701,5530.225
MLT,387,191.521,195.659
MRT,2711,1357.639,1353.782
MUS,1185,587.689,597.454
MEX,102809,51039.864,51768.724
FSM,107,54.384,53.046
MNG,2397,1195.614,1201.824
MNE,614,303.056,310.501
MAR,28951,14345.487,14605.066
MOZ,18265,8766.267,9498.269
MMR,47670,23300.82,24368.972
NAM,1898,932.799,965.154
NPL,23740,11805.565,11934.58
NLD,15894,7863.731,8030.285
NZL,3858,1893.377,1964.857
NIC,5027,2487.088,2539.704
NER,11225,5611.594,5612.929
NGA,122877,62209.584,60667.144
NOR,4492,2223.62,2267.952
OMN,2239,1254.503,984.9
PAK,138250,71329.68,66920.812
PAN,3029,1526.221,1502.53
PNG,5374,2739.849,2634.202
PRY,5303,2683.482,2619.221
PER,25915,12950.839,12964.036
